-wUs7rt0B8TaiQ.schema.yaml	harmonies	-wUs7rt0B8TaiQ	harmonies/-wUs7rt0B8TaiQ.schema.yaml	09-1	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note			
1LYx-6vvsp-R2Q.schema.yaml	harmonies	1LYx-6vvsp-R2Q	harmonies/1LYx-6vvsp-R2Q.schema.yaml	08-1	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note		
2FyXgUL9wtFjJg.schema.yaml	harmonies	2FyXgUL9wtFjJg	harmonies/2FyXgUL9wtFjJg.schema.yaml	BWV1005_02_Fuga	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note				
30MdM515E-w_JQ.schema.yaml	harmonies	30MdM515E-w_JQ	harmonies/30MdM515E-w_JQ.schema.yaml	n01op18-1_03	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note						
3xXaI59c2f9xGQ.schema.yaml	harmonies	3xXaI59c2f9xGQ	harmonies/3xXaI59c2f9xGQ.schema.yaml	n10op74_01	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note					
562ir7IgBvFUPg.schema.yaml	harmonies	562ir7IgBvFUPg	harmonies/562ir7IgBvFUPg.schema.yaml	concerto-j_brahms-piano_concerto_op83-I 2	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	align	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note		
BK83zuLSThgXUw.schema.yaml	harmonies	BK83zuLSThgXUw	harmonies/BK83zuLSThgXUw.schema.yaml	op03n05a	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note				
I0fuHqZIxAs2mA.schema.yaml	harmonies	I0fuHqZIxAs2mA	harmonies/I0fuHqZIxAs2mA.schema.yaml	n10op74_03	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note				
IBFZ5ITow1xiGw.schema.yaml	harmonies	IBFZ5ITow1xiGw	harmonies/IBFZ5ITow1xiGw.schema.yaml	n05op18-5_01	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note					
IKmy0JEWgI5obA.schema.yaml	harmonies	IKmy0JEWgI5obA	harmonies/IKmy0JEWgI5obA.schema.yaml	12.16_Toccata_cromaticha_per_lâ€™elevatione_phrygian	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note							
Lxn1oLuF5xuNlg.schema.yaml	harmonies	Lxn1oLuF5xuNlg	harmonies/Lxn1oLuF5xuNlg.schema.yaml	concerto-j_haydn-cello_concerto_op101-I	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	size	textLineSpacing	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note		
OQsZRQ1RfoEMBw.schema.yaml	harmonies	OQsZRQ1RfoEMBw	harmonies/OQsZRQ1RfoEMBw.schema.yaml	n02op18-2_03	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note				
QdGZ2AJDZA3-hA.schema.yaml	harmonies	QdGZ2AJDZA3-hA	harmonies/QdGZ2AJDZA3-hA.schema.yaml	BI18op68-2	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note				
Vkf5Bf4a8l_rNg.schema.yaml	harmonies	Vkf5Bf4a8l_rNg	harmonies/Vkf5Bf4a8l_rNg.schema.yaml	12.23_Christe,_Tema_F_2	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note						
WYVXgymr3VnUkA.schema.yaml	harmonies	WYVXgymr3VnUkA	harmonies/WYVXgymr3VnUkA.schema.yaml	op06n08	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note					
XjFo1Ti2pNKVNw.schema.yaml	harmonies	XjFo1Ti2pNKVNw	harmonies/XjFo1Ti2pNKVNw.schema.yaml	20-1	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note			
YIgI2kVzIcYapg.schema.yaml	harmonies	YIgI2kVzIcYapg	harmonies/YIgI2kVzIcYapg.schema.yaml	n10op74_04	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note			
ZLE3uVqfbehWIw.schema.yaml	harmonies	ZLE3uVqfbehWIw	harmonies/ZLE3uVqfbehWIw.schema.yaml	op71n05	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note			
ZzyTu0gujCUo_w.schema.yaml	harmonies	ZzyTu0gujCUo_w	harmonies/ZzyTu0gujCUo_w.schema.yaml	sonata-j_brahms-cello_sonata_op38-III	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	size	textLineSpacing	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note		
lvoqfiqcpYstHg.schema.yaml	harmonies	lvoqfiqcpYstHg	harmonies/lvoqfiqcpYstHg.schema.yaml	n01op18-1_01	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note					
nL-Xqg4u1Wtb8A.schema.yaml	harmonies	nL-Xqg4u1Wtb8A	harmonies/nL-Xqg4u1Wtb8A.schema.yaml	n01op18-1_02	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note				
tN8yBaoIreWiHA.schema.yaml	harmonies	tN8yBaoIreWiHA	harmonies/tN8yBaoIreWiHA.schema.yaml	op01n11a	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note					
tYAOMZrjhh3Mww.schema.yaml	harmonies	tYAOMZrjhh3Mww	harmonies/tYAOMZrjhh3Mww.schema.yaml	sonata_l_v_beethoven-piano_sonata_op31no2-I	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	color	color_a	color_b	color_g	color_r	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
zvWRp3FtD3sMJQ.schema.yaml	harmonies	zvWRp3FtD3sMJQ	harmonies/zvWRp3FtD3sMJQ.schema.yaml	161.06_Sonetto_123_del_Petrarca	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note				
